093731 - It's a new hour!
093732 - Performing wealth generation...
093732 - Biscuit gets nothing.
093732 - Processing radiation damage...
093732 - Processing health regeneration...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing health regeneration...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Processing radiation damage...
093732 - Saving game.
093733 - Processing health regeneration...
093733 - Processing radiation damage...
093733 - Processing radiation damage...
093733 - Processing radiation damage...
093733 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing health regeneration...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Processing radiation damage...
093734 - Saving game.
093734 - Processing health regeneration...
